id(reindex)	id(original_data)	artist_name	genre	katz
0	74	Special Duties	Pop/Rock	2997.222
1	335	PJ Harvey	Pop/Rock	31793.6201
2	441	P.O.D.	Pop/Rock	226105.0229
3	589	Tony Furtado	Pop/Rock	1076.791551
4	1097	ToÃ±o Rosario	Latin	0
5	1098	Soundgarden	Pop/Rock	36279.73421
6	1113	t.A.T.u.	Pop/Rock	30618.04552
7	1163	Serge Chaloff	Jazz	0
8	1190	Syreeta	R&B;	0
9	1266	Alla Rakha	International	0
10	1433	Pam Tillis	Country	1326.16496
11	1498	All That Remains	Pop/Rock	132207.3219
12	1589	GyÃ¶rgy KurtÃ¡g	Classical	0.25
13	1611	Speedy	Electronic	134.700441
14	2130	Alfred Newman	Stage & Screen	0
15	2252	Allan Holdsworth	Pop/Rock	56.946297
16	2273	Allan Sherman	Comedy/Spoken	1.796053
17	2330	Sergio Mendes	Easy Listening	247.373089
18	2411	Tangerine Dream	Electronic	592.25623
19	2578	Tanita Tikaram	Pop/Rock	231.99341
20	2750	Total	R&B;	4906.402935
21	2867	Pat Travers	Pop/Rock	1021.640961
22	3056	P.P. Arnold	R&B;	0
23	3170	Pablo Cruise	Pop/Rock	575.301092
24	3226	Alexisonfire	Pop/Rock	84063.46627
25	3413	Allan Jones	Vocal	0
26	3426	Tank	R&B;	1514.729807
27	3595	Andrew Lloyd Webber	Stage & Screen	202.813993
28	3627	Pato Banton	Reggae	300.40195
29	3669	Southern Culture on the Skids	Pop/Rock	2360.009357
30	3829	T-Bone Walker	Blues	0.592271
31	4358	Tony Rebel	Reggae	42.993919
32	4451	T.S.O.L.	Pop/Rock	5402.427366
33	4458	Parijat	New Age	66.441702
34	4553	T-Connection	R&B;	48.385846
35	4852	Selena	Latin	13417.20646
36	4955	Space	Pop/Rock	88.656418
37	5307	Alicia Keys	R&B;	8503.774733
38	5366	Alfredo Gutierrez	Latin	0
39	5441	Pantera	Pop/Rock	94668.30882
40	5501	System of a Down	Pop/Rock	225909.0197
41	5882	T. Rex	Pop/Rock	360.649049
42	5953	Alice Cooper	Pop/Rock	1987.734244
43	5980	Paolo Conte	Vocal	17.41437
44	6143	Alice Coltrane	Jazz	32.642986
45	6232	Robert Miles	Electronic	2296.691758
46	6310	Semisonic	Pop/Rock	45166.91221
47	6320	Toto	Pop/Rock	1636.459526
48	6334	Tony Bennett	Vocal	14.396669
49	6563	Stan Levey	Jazz	0.358522
50	6568	Alicia Myers	R&B;	56.474602
51	6613	Ali Farka TourÃ©	International	2.270581
52	6855	Pablo MilanÃ©s	Latin	0.25
53	6860	Alicia Villarreal	Latin	104.663236
54	7031	Alison Krauss & Union Station	Country	20.629039
55	7230	Brian May	Pop/Rock	2403.33259
56	7305	Tony Levin	Pop/Rock	145.644842
57	7448	The Delfonics	R&B;	31.267809
58	7689	TLC	R&B;	3341.856727
59	7729	The Trashmen	Pop/Rock	21.254261
60	7731	Papa Roach	Pop/Rock	148446.2972
61	7920	Alice in Chains	Pop/Rock	48138.55632
62	7974	T. Graham Brown	Country	138.270562
63	8125	Sharon Jones & the Dap-Kings	R&B;	288.537624
64	8245	Spanky & Our Gang	Pop/Rock	132.939889
65	8549	Sparklehorse	Pop/Rock	46147.79361
66	8570	Senses Fail	Pop/Rock	110141.1018
67	8591	Sparta	Pop/Rock	71559.37704
68	8828	Spice Girls	Pop/Rock	41310.16023
69	9084	Sparks	Pop/Rock	171.33956
70	9218	Tracey Thorn	Pop/Rock	251.427725
71	9437	SHeDAISY	Country	29118.76611
72	9441	Static-X	Pop/Rock	170154.2644
73	9490	Shed Seven	Pop/Rock	22570.68883
74	9680	Charles Mingus	Jazz	5.166275
75	9787	Taproot	Pop/Rock	416924.7715
76	9970	Spineshank	Pop/Rock	128030.041
77	10412	Spin Doctors	Pop/Rock	12114.43725
78	10538	Spandau Ballet	Pop/Rock	4528.090954
79	10982	All	Pop/Rock	15148.33909
80	11028	Frank Loesser	Stage & Screen	0
81	11046	Tracy Bonham	Pop/Rock	41968.48941
82	11052	Tracy Byrd	Country	9030.199389
83	11210	Tara Kemp	R&B;	64.666105
84	11242	Sheb Wooley	Country	1.265207
85	11506	Palace	Pop/Rock	4974.054107
86	11608	Tab Benoit	Blues	592.791077
87	11620	Alvin Lee	Pop/Rock	0
88	11664	American Head Charge	Pop/Rock	65362.15153
89	11707	Steely Dan	Pop/Rock	202.508967
90	11754	Sheena Easton	Pop/Rock	7936.519709
91	11910	Stanley Jordan	Jazz	107.225964
92	11970	Patrick Cowley	Electronic	0
93	12128	All-4-One	R&B;	3143.697216
94	12180	Trace Adkins	Country	3438.779043
95	12472	Traffic	Pop/Rock	364.170423
96	12491	Taylor Dayne	Pop/Rock	7069.331028
97	12570	Sister Carol	Reggae	50.053168
98	12595	American Hi-Fi	Pop/Rock	39588.31247
99	12644	Stanley Turrentine	Jazz	11.784857
100	12654	Spinal Tap	Comedy/Spoken	22275.65339
101	12802	Wynona Carr	Religious	0
102	12877	Stealers Wheel	Pop/Rock	8.009848
103	12972	TV on the Radio	Pop/Rock	22144.30232
104	13038	Stanton Moore	Jazz	96.014238
105	13101	Patrick O'Hearn	New Age	901.765989
106	13377	Stan Rogers	Folk	64.018408
107	13384	Tanya Tucker	Country	920.137958
108	13387	Shawn Colvin	Pop/Rock	4741.236994
109	13393	Tower of Power	R&B;	98.71341
110	13508	Travis	Pop/Rock	190004.2737
111	13511	Sister Rosetta Tharpe	Religious	1.145138
112	13583	Shawn Mullins	Pop/Rock	10331.51713
113	13755	Starcastle	Pop/Rock	1407.522151
114	14073	Tab Hunter	Pop/Rock	0.659566
115	14201	Spirit of the West	Folk	927.075282
116	14263	Paquito D'Rivera	Jazz	45.735237
117	14329	Tramaine Hawkins	Religious	0.375
118	14651	Patsy Cline	Country	12.902133
119	14699	Transvision Vamp	Pop/Rock	1546.976182
120	14724	Paul Brady	Pop/Rock	29.355377
121	14757	Trans-Siberian Orchestra	Classical	17768.32396
122	14822	Sister Hazel	Pop/Rock	10991.73144
123	14931	Tasmin Archer	R&B;	1656.200905
124	14959	Taste	Pop/Rock	24.675041
125	15158	SisqÃ³	R&B;	7392.101995
126	15318	Travis Tritt	Country	3684.510664
127	15405	Shaun Cassidy	Pop/Rock	279.50129
128	15694	Teenage Fanclub	Pop/Rock	28207.05222
129	15856	Aloe Blacc	R&B;	98.014303
130	16132	Sevendust	Pop/Rock	153077.9765
131	16186	Amel Larrieux	R&B;	326.816021
132	16227	Tavares	R&B;	104.250733
133	16235	Tony Orlando	Pop/Rock	4.827172
134	16281	Tracy Chapman	Pop/Rock	2091.248175
135	16361	Patty Duke	Pop/Rock	0
136	16438	Television Personalities	Pop/Rock	2728.989311
137	16448	AmÃ¡lia Rodrigues	International	0
138	16574	Alpha	Electronic	13114.64933
139	16759	Tadd Dameron	Jazz	0
140	16835	The Paul Butterfield Blues Band	Blues	2.431374
141	16925	Paul Gonsalves	Jazz	4.947151
142	16944	Alpha Blondy	Reggae	299.225998
143	17021	Tenacious D	Pop/Rock	26840.70566
144	17060	TrentemÃ¸ller	Electronic	0
145	17387	Sixpence None the Richer	Pop/Rock	16470.15426
146	17748	Patti LaBelle	R&B;	731.824396
147	17877	Terence Trent D'Arby	R&B;	1570.783731
148	17882	Teresa Brewer	Vocal	0.576449
149	17929	Patti Austin	R&B;	40.267577
150	17937	Patti LuPone	Vocal	15.754974
151	18137	Paul Motian	Jazz	31.261093
152	18176	Teddy Riley	R&B;	128.457411
153	18258	Teena Marie	R&B;	257.665604
154	18513	Paul Hardcastle	Jazz	58.549527
155	18691	Paradise Lost	Pop/Rock	15493.65938
156	18828	Stars	Pop/Rock	35230.55852
157	18862	Stars of the Lid	Pop/Rock	133.635951
158	18977	Barry Manilow	Pop/Rock	451.881658
159	19029	Tad	Pop/Rock	288.008968
160	19133	Ambrosia	Pop/Rock	1159.408433
161	19241	Patty Loveless	Country	1598.208565
162	19297	America	Pop/Rock	1149.032425
163	19392	...And You Will Know Us by the Trail of Dead	Pop/Rock	107203.7818
164	19435	Shelly Manne	Jazz	4.567719
165	19701	Television	Pop/Rock	1885.010847
166	19740	Amerie	R&B;	1716.581068
167	19831	Skunk Anansie	Pop/Rock	20010.26207
168	19892	Tears for Fears	Pop/Rock	12697.68925
169	19953	Sheila E.	R&B;	15.478702
170	20028	Sky	Pop/Rock	191.376905
171	20050	Ten Years After	Pop/Rock	187.697641
172	20278	Teddy Pendergrass	R&B;	114.019748
173	20319	Shel Silverstein	Folk	1.730626
174	20403	Tennessee Ernie Ford	Country	1.153835
175	20729	Slightly Stoopid	Pop/Rock	43023.04158
176	20740	Sizzla	Reggae	1295.365648
177	20760	Shelby Lynne	Country	10040.8367
178	20812	Slaughter	Pop/Rock	15765.39565
179	20862	Paul Collins	Pop/Rock	623.472261
180	20919	Amber	Electronic	790.190113
181	20971	Terence Blanchard	Jazz	239.482915
182	20984	Shelley Fabares	Pop/Rock	1.032891
183	21008	Trick Pony	Country	12611.76335
184	21009	Slash	Pop/Rock	3117.607617
185	21292	Shenandoah	Country	2543.932174
186	21334	Stephanie Mills	R&B;	188.829139
187	21492	Stephen Malkmus	Pop/Rock	4501.624584
188	21578	Sleep	Pop/Rock	22871.36725
189	21670	Tegan and Sara	Pop/Rock	44208.13678
190	21744	Stephen Stills	Pop/Rock	583.052142
191	21747	Chuck Mangione	Jazz	213.632778
192	22020	Tribal Tech	Jazz	413.810931
193	22124	Slayer	Pop/Rock	30042.29178
194	22257	Patty Smyth	Pop/Rock	734.759793
195	22348	Patty Griffin	Pop/Rock	4120.53203
196	22369	Amon Amarth	Pop/Rock	16849.65246
197	22574	Paul Mauriat	Easy Listening	0.3125
198	22602	Ten Foot Pole	Pop/Rock	5555.041068
199	22875	Temple of the Dog	Pop/Rock	129.979918
200	22928	Steppenwolf	Pop/Rock	590.738727
201	22981	Terrorizer	Pop/Rock	4264.083851
202	23147	Steps Ahead	Jazz	285.001556
203	23202	Stereo MC's	Electronic	6724.77545
204	23290	Slam Stewart	Jazz	0
205	23411	Shelly West	Country	2.964529
206	23925	Stephen Bishop	Pop/Rock	519.795092
207	23982	Ted Hawkins	Blues	28.66638
208	24113	Tripping Daisy	Pop/Rock	0
209	24139	Paul Rodgers	Pop/Rock	1.07278
210	24152	Sherbet	Pop/Rock	130.563994
211	24309	Stephen Marley	Reggae	132.338482
212	24329	Amon Tobin	Electronic	5206.410311
213	24568	Shirley Collins	Folk	8.259848
214	24944	Amy Grant	Religious	1010.587711
215	25047	The Angels	Pop/Rock	0
216	25142	Tea Leaf Green	Pop/Rock	4146.629077
217	25236	Skindred	Pop/Rock	248045.2288
218	25394	Trio	Pop/Rock	72.413733
219	25462	Tricky	Electronic	21922.88905
220	25778	Slave	R&B;	82.4504
221	25857	Shep Pettibone	Electronic	0.5
222	25899	Technotronic	Electronic	243.425875
223	25965	Steve Cole	Jazz	167.992969
224	26023	The Apples in Stereo	Pop/Rock	19591.12551
225	26161	Terrance Simien	International	3.875101
226	26164	Sleater-Kinney	Pop/Rock	129347.9156
227	26193	Andrew Bird	Pop/Rock	17315.08347
228	26350	Wolfgang Amadeus Mozart	Classical	0
229	26367	Skid Row	Pop/Rock	42522.50891
230	26510	Terry Allen	Country	1557.223562
231	26520	Stereolab	Pop/Rock	7567.623253
232	26637	Skin Yard	Pop/Rock	6807.466213
233	26825	Paula Cole	Pop/Rock	8161.6369
234	26952	Smokie Norful	Religious	431.402459
235	27102	Terry Stafford	Pop/Rock	3.584927
236	27136	Paulina Rubio	Latin	12485.68057
237	27221	Sleeping at Last	Pop/Rock	76932.11926
238	27916	Terry Callier	R&B;	85.277631
239	28002	Shinedown	Pop/Rock	147697.3724
240	28015	Paul Quinichette	Jazz	0.369086
241	28166	Slim Harpo	Blues	7.177409
