id,clust_coef,name,genre
36,2,Space,Pop/Rock
49,2,Stan Levey,Jazz
102,2,Stealers Wheel,Pop/Rock
106,2,Stan Rogers,Folk
141,2,Paul Gonsalves,Jazz
247,2,The 88,Pop/Rock
251,2,Trixter,Pop/Rock
279,2,Andy Gibb,Pop/Rock
329,2,Sonny Clark,Jazz
364,2,Mary Martin,Stage & Screen
410,2,Beth Nielsen Chapman,Country
435,2,Blu Cantrell,R&B;
468,2,Beth Carvalho,Latin
487,2,The Four Aces,Vocal
492,2,Bill Anderson,Country
501,2,The Chords,Pop/Rock
504,2,Bernie Worrell,R&B;
680,2,Biosphere,Electronic
689,2,Alex de Grassi,New Age
696,2,Paco de LucÃ­a,Latin
699,2,The Intruders,R&B;
761,2,Patrick Doyle,Stage & Screen
768,2,Ismael Miranda,Latin
823,2,Klaatu,Pop/Rock
837,2,The Knickerbockers,Pop/Rock
915,2,Chemlab,Pop/Rock
924,2,IsmaÃ«l LÃ´,International
949,2,Eric Darius,Jazz
957,2,Leatherface,Pop/Rock
988,2,Chris Thomas,Pop/Rock
1034,2,El Gran Silencio,Latin
1106,2,Lata Mangeshkar,International
1140,2,The Cover Girls,R&B;
1145,2,The Creatures,Pop/Rock
1161,2,JoÃ£o Bosco,Latin
1189,2,Cusco,New Age
1240,2,Leaf Hound,Pop/Rock
1286,2,Chad Brock,Country
1300,2,Franco,International
1338,2,Doug Kershaw,Country
1439,2,Edwin McCain,Pop/Rock
1477,2,The Edwin Hawkins Singers,Religious
1492,2,David Gates,Pop/Rock
1512,2,Flaw,Pop/Rock
1547,2,Fun Boy Three,Pop/Rock
1587,2,Frank Butler,Jazz
1627,2,Gang Green,Pop/Rock
1640,2,Della Reese,Vocal
1708,2,Charlie Byrd,Jazz
1742,2,Wesley Willis,Pop/Rock
1751,2,Dick Gregory,Comedy/Spoken
1772,2,U.K.,Pop/Rock
1867,2,Jobriath,Pop/Rock
2018,2,Scooter,Electronic
2035,2,Diamond Rio,Country
2055,2,Wild Cherry,R&B;
2098,2,Little Texas,Country
2140,2,Howard McGhee,Jazz
2147,2,Jerry Lewis,Comedy/Spoken
2187,2,Play,Pop/Rock
2202,2,Robert Glasper,Jazz
2229,2,Sammy,Pop/Rock
2289,2,Jule Styne,Stage & Screen
2318,2,SeÃ¡n Ã“ Riada,International
2345,2,Scandal,Pop/Rock
2436,2,Marmalade,Pop/Rock
2541,2,Rick Trevino,Country
2542,2,Preservation Hall Jazz Band,Jazz
2578,2,Kavita Krishnamurthy,International
2579,2,Martha Wash,R&B;
2605,2,Nappy Brown,Blues
2607,2,Nat Adderley,Jazz
2623,2,Red Rat,Reggae
2734,2,Meli'sa Morgan,R&B;
2773,2,Marconi Union,Electronic
2842,2,Ricardo Montaner,Latin
2947,2,Moloko,Electronic
2989,2,Mon Rivera,Latin
3064,2,Al Hirt,Jazz
3085,2,Alcatrazz,Pop/Rock
3113,2,Stonewall Jackson,Country
3135,2,Magnus Karlsson,Pop/Rock
3186,2,HammerFall,Pop/Rock
3221,2,Dangerous Toys,Pop/Rock
3291,2,Mojo Nixon,Pop/Rock
3357,2,Admiral Bailey,Reggae
3364,2,Acceptance,Pop/Rock
3379,2,Arch Enemy,Pop/Rock
3404,2,Arthur Conley,R&B;
3571,2,Bushman,Reggae
3585,2,C.W. McCall,Country
3606,2,Memphis May Fire,Pop/Rock
3656,2,Cascada,Electronic
3712,2,Herb Ellis,Jazz
3780,2,Joel Rafael,Folk
3858,2,Sharon Shannon,International
3890,2,Paul Gilbert,Pop/Rock
3900,2,Paul Kelly,Pop/Rock
3980,2,The Bobbettes,R&B;
3990,2,The Bluegrass Album Band,Country
4003,2,The Ethiopians,Reggae
4019,2,The Firm,Pop/Rock
4044,2,Bill Justis,Pop/Rock
4083,2,The Ides of March,Pop/Rock
4090,2,Bonham,Pop/Rock
4092,2,Icehouse,Pop/Rock
4113,2,Immature,R&B;
4157,2,J.K. & Co.,Pop/Rock
4219,2,James Newton Howard,Stage & Screen
4258,2,Shai,R&B;
4268,2,E.U.,R&B;
4295,2,Robert Francis,Pop/Rock
4296,2,Doctor Ross,Blues
4393,2,Luther "Guitar Junior" Johnson,Blues
4413,2,Jamie Principle,Electronic
4491,2,The Deviants,Pop/Rock
4545,2,Lord Melody,International
4580,2,Scott Nygaard,Country
4704,2,Keel,Pop/Rock
4763,2,Merril Bainbridge,Pop/Rock
4795,2,Michal Urbaniak,Jazz
4826,2,The Producers,Pop/Rock
4830,2,Los Secretos,Latin
4874,2,45 Grave,Pop/Rock
4876,2,54-40,Pop/Rock
4961,2,Alan Silvestri,Stage & Screen
5031,2,Georges Delerue,Stage & Screen
5090,2,Marc Johnson,Jazz
5153,2,Kodomo,Electronic
5210,2,The Alan Parsons Project,Pop/Rock
5221,2,Louis and Bebe Barron,Classical
5226,2,The Outsiders,Pop/Rock
5228,2,Slim,R&B;
5240,2,Tribal Seeds,Reggae
5272,2,Moe Bandy & Joe Stampley,Country
5282,2,Elevation Worship,Religious
5301,2,Kevin Morby,Pop/Rock
5331,2,Lincoln,Pop/Rock
5334,2,Curtis Grimes,Country
5335,2,Sky Ferreira,Pop/Rock
5354,2,Charles Bradley,R&B;
5397,2,Feed Me,Electronic
5404,2,Periphery,Pop/Rock
5422,2,Cole Swindell,Country
5424,2,Kishi Bashi,Pop/Rock
5471,2,Niagara,Pop/Rock
5475,2,Upchurch,Country
5494,2,Together PANGEA,Pop/Rock
5515,2,Kehlani,R&B;
5522,2,Anthony Lewis,R&B;
5537,2,The Marcus King Band,Pop/Rock
5576,2,Luke Combs,Country
73,1.733333,Shed Seven,Pop/Rock
129,1.666667,Aloe Blacc,R&B;
811,1.666667,Booker Ervin,Jazz
910,1.666667,Cheo Feliciano,Latin
4068,1.666667,The Connection,Pop/Rock
5277,1.666667,X Japan,Pop/Rock
4824,1.6,The Romantics,Pop/Rock
1344,1.571429,Cast,Pop/Rock
1774,1.52381,Dimmu Borgir,Pop/Rock
2446,1.52381,Nicholas Payton,Jazz
814,1.5,Booker Little,Jazz
1952,1.466667,Sammie,R&B;
5504,1.466667,Neck Deep,Pop/Rock
352,1.428571,The Bluetones,Pop/Rock
155,1.4,Paradise Lost,Pop/Rock
827,1.4,Kix,Pop/Rock
1066,1.4,The Grascals,Country
2630,1.4,Masters of Reality,Pop/Rock
2914,1.4,The Pietasters,Pop/Rock
3018,1.4,The Rembrandts,Pop/Rock
3503,1.4,Aslan,Pop/Rock
3942,1.4,Steve Lacy,Jazz
181,1.388889,Terence Blanchard,Jazz
1875,1.357143,Death Angel,Pop/Rock
54,1.333333,Alison Krauss & Union Station,Country
56,1.333333,Tony Levin,Pop/Rock
207,1.333333,Ted Hawkins,Blues
273,1.333333,Paul Winter,New Age
326,1.333333,Steve Howe,Pop/Rock
480,1.333333,Babatunde Olatunji,International
530,1.333333,Avant,R&B;
564,1.333333,Bob Newhart,Comedy/Spoken
596,1.333333,Bill Callahan,Pop/Rock
654,1.333333,Inner Circle,Reggae
694,1.333333,Kenny Lattimore,R&B;
857,1.333333,Klymaxx,R&B;
936,1.333333,Chico DeBarge,R&B;
960,1.333333,Jah Cure,Reggae
1003,1.333333,Laraaji,New Age
1058,1.333333,The Beloved,Pop/Rock
1059,1.333333,Eydie Gorme,Vocal
1131,1.333333,Midlake,Pop/Rock
1139,1.333333,The Cyrkle,Pop/Rock
1188,1.333333,The Duprees,R&B;
1318,1.333333,Tamba Trio,Latin
1330,1.333333,Electric Six,Pop/Rock
1355,1.333333,Chapterhouse,Pop/Rock
1364,1.333333,Eddie "Lockjaw" Davis,Jazz
1385,1.333333,Elf,Pop/Rock
1430,1.333333,Carl Butler,Country
1549,1.333333,John Foxx,Pop/Rock
1580,1.333333,Dori Caymmi,Latin
1649,1.333333,Charles TrÃ©net,Vocal
1713,1.333333,Charlie Chaplin,Reggae
1736,1.333333,Drake Bell,Pop/Rock
1809,1.333333,David Houston,Country
1871,1.333333,Local H,Pop/Rock
1995,1.333333,DevilDriver,Pop/Rock
2012,1.333333,Junior Mance,Jazz
2333,1.333333,VAST,Pop/Rock
2380,1.333333,Jem,Pop/Rock
2395,1.333333,Jerry Douglas,Country
2518,1.333333,Planet P Project,Pop/Rock
2566,1.333333,Propellerheads,Electronic
2598,1.333333,Philip Wesley,New Age
2721,1.333333,The Motors,Pop/Rock
2778,1.333333,The Rezillos,Pop/Rock
2781,1.333333,Nivea,R&B;
2843,1.333333,Rey Ruiz,Latin
2872,1.333333,Corbin Bleu,Pop/Rock
2913,1.333333,The Pied Pipers,Vocal
2930,1.333333,MoKenStef,R&B;
3048,1.333333,Miri Ben-Ari,R&B;
3094,1.333333,Brian Poole & the Tremeloes,Pop/Rock
3151,1.333333,Dailey & Vincent,Country
3247,1.333333,Taio Cruz,Pop/Rock
3343,1.333333,Monica Zetterlund,Jazz
3496,1.333333,Britny Fox,Pop/Rock
3520,1.333333,Buddy Tate,Jazz
3552,1.333333,David Bromberg,Folk
3632,1.333333,Glenn Lewis,R&B;
3688,1.333333,The Felice Brothers,Pop/Rock
3704,1.333333,Marc Dorsey,Pop/Rock
3739,1.333333,William Clarke,Blues
3880,1.333333,Allure,R&B;
4012,1.333333,Bob Berg,Jazz
4053,1.333333,The Clark Sisters,Religious
4168,1.333333,Chris Thile,Folk
4247,1.333333,Bennie Maupin,Jazz
4267,1.333333,Dyke & the Blazers,R&B;
4283,1.333333,Electronic,Pop/Rock
4372,1.333333,Gene Watson,Country
4518,1.333333,Jonathan Winters,Comedy/Spoken
4552,1.333333,Loudness,Pop/Rock
4589,1.333333,Julia Fordham,Pop/Rock
4607,1.333333,Vanessa Bell Armstrong,Religious
4652,1.333333,Phil Keaggy,Religious
4687,1.333333,Kate Wolf,Folk
4736,1.333333,Mayday,International
4768,1.333333,Red Lorry Yellow Lorry,Pop/Rock
4833,1.333333,Mikey Dread,Reggae
5001,1.333333,Brooklyn Bridge,Pop/Rock
5109,1.333333,Dave Dudley,Country
5218,1.333333,The Uniques,Reggae
5237,1.333333,Josh Ward,Country
5309,1.333333,The Temper Trap,Pop/Rock
5330,1.333333,Manfred Mann,Pop/Rock
5395,1.333333,Absofacto,Pop/Rock
5578,1.333333,Levitation Room,Pop/Rock
5597,1.333333,Yungblud,Pop/Rock
1343,1.244444,Electric Wizard,Pop/Rock
2122,1.238095,S Club 7,Pop/Rock
5154,1.238095,Little Dragon,Electronic
1025,1.214286,Craig Morgan,Country
2775,1.214286,Overkill,Pop/Rock
3985,1.214286,Steve Young,Country
614,1.2,Jimmy Raney,Jazz
886,1.2,Cold,Pop/Rock
916,1.2,Chris Duarte,Pop/Rock
970,1.2,Joe Bonamassa,Blues
1279,1.2,Flo & Eddie,Pop/Rock
1434,1.2,Firefall,Pop/Rock
1804,1.2,Little River Band,Pop/Rock
1910,1.2,Denis Leary,Comedy/Spoken
1972,1.2,Lenny White,Jazz
2257,1.2,Possessed,Pop/Rock
2819,1.2,Off Broadway,Pop/Rock
2921,1.2,Millencolin,Pop/Rock
3296,1.2,Sun Kil Moon,Pop/Rock
3490,1.2,Bronski Beat,Pop/Rock
3580,1.2,David Cross,Comedy/Spoken
3789,1.2,The Youngbloods,Pop/Rock
3940,1.2,Smile Empty Soul,Pop/Rock
3946,1.2,Andy Irvine,International
3960,1.2,Steve Lawrence,Vocal
4260,1.2,Exile,Country
4385,1.2,Luther Ingram,R&B;
4456,1.2,Leftover Salmon,Pop/Rock
4693,1.2,Prince Jazzbo,Reggae
5062,1.2,Giuffria,Pop/Rock
5207,1.2,Matthew Halsall,Jazz
5436,1.2,Harry Styles,Pop/Rock
3510,1.166667,Jamey Johnson,Country
4138,1.166667,Cherish,R&B;
4181,1.163636,Lamb of God,Pop/Rock
3687,1.155556,Witchfinder General,Pop/Rock
796,1.142857,Blackfoot,Pop/Rock
1399,1.142857,Luther Allison,Blues
1644,1.142857,Champion Jack Dupree,Blues
1710,1.142857,Vic Damone,Vocal
2213,1.142857,Samantha Fox,Pop/Rock
2874,1.142857,Collie Buddz,Reggae
2876,1.142857,3LW,Pop/Rock
3810,1.142857,Boys Like Girls,Pop/Rock
4098,1.142857,Jimmy Rogers,Blues
5503,1.142857,5 Seconds of Summer,Pop/Rock
4084,1.127273,Kenny Dorham,Jazz
1505,1.121212,Freddie Jackson,R&B;
3489,1.111111,Budgie,Pop/Rock
3919,1.111111,Trivium,Pop/Rock
3446,1.090909,The Fratellis,Pop/Rock
1478,1.071429,Eloy,Pop/Rock
2519,1.071429,K.T. Oslin,Country
2640,1.071429,Norma Jean,Pop/Rock
4724,1.071429,Raheem DeVaughn,R&B;
5114,1.071429,Will Downing,R&B;
216,1.066667,Tea Leaf Green,Pop/Rock
898,1.066667,Lakeside,R&B;
1372,1.066667,Djavan,Latin
2999,1.066667,Another Bad Creation,R&B;
3584,1.066667,Burzum,Pop/Rock
4507,1.066667,Jon Bon Jovi,Pop/Rock
4931,1.066667,Thunder,Pop/Rock
5540,1.066667,Natalie La Rose,R&B;
2884,1.064327,Moe Bandy,Country
2852,1.060606,Rhonda Vincent,Country
4773,1.055556,ReneÃ© Olstead,Vocal
2009,1.054545,Diamond Head,Pop/Rock
1829,1.047619,Dead Meadow,Pop/Rock
3865,1.047619,Seven Mary Three,Pop/Rock
4384,1.047619,Down by Law,Pop/Rock
4861,1.047619,Mayday Parade,Pop/Rock
5170,1.047619,Delta Spirit,Pop/Rock
5430,1.047619,Robert Glasper Experiment,R&B;
723,1.025641,Wolfmother,Pop/Rock
363,1.022222,The Black Dahlia Murder,Pop/Rock
774,1.022222,The Limeliters,Folk
1571,1.018182,Unwound,Pop/Rock
160,1,Ambrosia,Pop/Rock
169,1,Sheila E.,R&B;
206,1,Stephen Bishop,Pop/Rock
221,1,Shep Pettibone,Electronic
293,1,Son Seals,Blues
420,1,Steven Wright,Comedy/Spoken
429,1,Blancmange,Pop/Rock
451,1,The Angels,Pop/Rock
490,1,The Flying Lizards,Electronic
557,1,Bola Sete,Jazz
576,1,Paul Desmond,Jazz
668,1,Billy Gilman,Pop/Rock
983,1,Confederate Railroad,Unknown
1257,1,ExposÃ©,Pop/Rock
1277,1,Passion,Religious
1296,1,Gas,Electronic
1381,1,Downset,Pop/Rock
1398,1,Carl Thomas,R&B;
1400,1,Eddie Henderson,Jazz
1523,1,John Cafferty,Pop/Rock
1677,1,Destruction,Pop/Rock
1716,1,Dramarama,Pop/Rock
1820,1,M.I.A.,Pop/Rock
2062,1,Scott LaFaro,Jazz
2152,1,Lila McCann,Country
2161,1,Rooney,Pop/Rock
2476,1,Rose Royce,R&B;
2482,1,No Use for a Name,Pop/Rock
2593,1,Pure Prairie League,Pop/Rock
2615,1,Rebirth Brass Band,R&B;
2659,1,Next,R&B;
2726,1,The Outsiders,Pop/Rock
2917,1,The Vapors,Pop/Rock
2918,1,The Vibrators,Pop/Rock
2971,1,The Ravens,Vocal
3099,1,Tommy Flanagan,Jazz
3195,1,Fred Anderson,Jazz
3250,1,Hepcat,Reggae
3482,1,TonÃ©x,R&B;
3508,1,Buena Vista Social Club,Latin
3521,1,David Ball,Country
3567,1,Buddy Collette,Jazz
3605,1,Guttermouth,Pop/Rock
3682,1,Gogol Bordello,Pop/Rock
3725,1,Hezekiah Walker,Religious
3802,1,The Black Angels,Pop/Rock
3849,1,Spacehog,Pop/Rock
3891,1,Paul Chambers,Jazz
3967,1,Angel Witch,Pop/Rock
4022,1,Blue Mitchell,Jazz
4078,1,The Heartbeats,R&B;
4193,1,Clarence Clemons,Pop/Rock
4217,1,The Crests,R&B;
4379,1,Grim Reaper,Pop/Rock
4408,1,VÃ­ctor Manuelle,Latin
4535,1,Josey Wales,Reggae
4544,1,Lord Invader,Reggae
4554,1,Robben Ford,Jazz
4563,1,Romeo Void,Pop/Rock
4583,1,Junior Reid,Reggae
4669,1,Rotary Connection,R&B;
4754,1,Mel Lewis,Jazz
4761,1,Metal Church,Pop/Rock
4778,1,Republica,Pop/Rock
4819,1,Oscar D'LeÃ³n,Latin
4868,1,4 Non Blondes,Pop/Rock
4869,1,999,Pop/Rock
5000,1,Toninho Horta,Jazz
5049,1,Giant,Pop/Rock
5108,1,Yazoo,Pop/Rock
5266,1,The Pretty Reckless,Pop/Rock
5339,1,Blitz,Pop/Rock
5414,1,Pistol Annies,Country
5454,1,A*Teens,Electronic
5538,1,Charlie Puth,Pop/Rock
947,0.981818,Colin James,Pop/Rock
3139,0.981818,MGMT,Pop/Rock
2300,0.977778,Rick Nielsen,Pop/Rock
