id,community_id,genre
1031,9,R&B;
4569,9,R&B;
767,8,International
2625,8,Pop/Rock
3472,8,Pop/Rock
120,7,Pop/Rock
206,7,Pop/Rock
383,7,Religious
560,7,International
580,7,International
660,7,Religious
805,7,International
843,7,Religious
1190,7,International
1277,7,Religious
1298,7,Religious
1530,7,International
1562,7,Pop/Rock
1763,7,Religious
2023,7,International
2163,7,Religious
2318,7,International
2359,7,Pop/Rock
2376,7,Religious
2486,7,Religious
2525,7,Religious
2553,7,New Age
2660,7,Religious
2670,7,Religious
2712,7,Religious
2729,7,Pop/Rock
2836,7,Religious
3073,7,Religious
3252,7,Religious
3428,7,Pop/Rock
3471,7,Unknown
3858,7,International
3871,7,Folk
3946,7,International
3978,7,Pop/Rock
4018,7,Religious
4186,7,International
4315,7,Religious
4490,7,New Age
4530,7,Pop/Rock
4550,7,Folk
4652,7,Religious
4675,7,International
4735,7,Pop/Rock
4756,7,Religious
4763,7,Pop/Rock
4834,7,Pop/Rock
80,6,Stage & Screen
4002,6,Stage & Screen
4649,6,Pop/Rock
43,5,Vocal
248,5,Pop/Rock
1004,5,Vocal
1012,5,Pop/Rock
1033,5,Pop/Rock
1443,5,Pop/Rock
1649,5,Vocal
1686,5,Pop/Rock
1780,5,Pop/Rock
1950,5,Vocal
2069,5,Pop/Rock
2328,5,Stage & Screen
2855,5,Pop/Rock
3376,5,Pop/Rock
3476,5,Pop/Rock
3488,5,Pop/Rock
3794,5,Vocal
4087,5,Electronic
4341,5,Pop/Rock
4376,5,Vocal
4461,5,Vocal
4619,5,Pop/Rock
16,4,Comedy/Spoken
84,4,Country
378,4,Comedy/Spoken
420,4,Comedy/Spoken
549,4,Pop/Rock
564,4,Comedy/Spoken
584,4,Comedy/Spoken
889,4,Comedy/Spoken
1183,4,Comedy/Spoken
1701,4,Comedy/Spoken
1751,4,Comedy/Spoken
1841,4,Comedy/Spoken
1869,4,Comedy/Spoken
1910,4,Comedy/Spoken
1960,4,Comedy/Spoken
1962,4,Comedy/Spoken
2005,4,Electronic
2147,4,Comedy/Spoken
2190,4,Comedy/Spoken
2195,4,Comedy/Spoken
2235,4,Comedy/Spoken
2475,4,Comedy/Spoken
2694,4,Pop/Rock
2717,4,Comedy/Spoken
2990,4,Comedy/Spoken
3026,4,Comedy/Spoken
3079,4,Comedy/Spoken
3339,4,Folk
3399,4,Comedy/Spoken
3449,4,Comedy/Spoken
3556,4,Comedy/Spoken
3580,4,Comedy/Spoken
3714,4,Comedy/Spoken
3857,4,Comedy/Spoken
3860,4,Children's
3933,4,Comedy/Spoken
4204,4,Children's
4502,4,Comedy/Spoken
4518,4,Comedy/Spoken
4570,4,Comedy/Spoken
4793,4,Children's
4835,4,Pop/Rock
13,3,Electronic
28,3,Reggae
31,3,Reggae
97,3,Reggae
142,3,Reggae
176,3,Reggae
211,3,Reggae
218,3,Pop/Rock
242,3,Reggae
283,3,Pop/Rock
299,3,Reggae
357,3,R&B;
403,3,Vocal
464,3,Reggae
483,3,Reggae
553,3,Reggae
577,3,Reggae
586,3,Reggae
591,3,Vocal
606,3,Reggae
626,3,Reggae
629,3,Pop/Rock
642,3,Reggae
654,3,Reggae
656,3,Reggae
666,3,Vocal
685,3,Reggae
719,3,Reggae
741,3,R&B;
750,3,Reggae
773,3,Reggae
923,3,Reggae
960,3,Reggae
1002,3,Reggae
1064,3,Reggae
1075,3,Reggae
1083,3,Reggae
1146,3,Reggae
1171,3,Pop/Rock
1223,3,Reggae
1285,3,Reggae
1308,3,Reggae
1312,3,Reggae
1315,3,Reggae
1362,3,Reggae
1394,3,Reggae
1409,3,Pop/Rock
1420,3,Reggae
1421,3,Reggae
1435,3,Reggae
1456,3,Reggae
1469,3,Latin
1473,3,Reggae
1474,3,Reggae
1489,3,Reggae
1510,3,Pop/Rock
1551,3,Pop/Rock
1578,3,Reggae
1589,3,Reggae
1590,3,Reggae
1635,3,Pop/Rock
1652,3,Pop/Rock
1689,3,Reggae
1713,3,Reggae
1795,3,Reggae
1801,3,Reggae
1831,3,Reggae
1844,3,International
1874,3,Reggae
1876,3,International
1893,3,Reggae
1941,3,Reggae
1975,3,Reggae
1989,3,Reggae
2006,3,Reggae
2011,3,Reggae
2014,3,Reggae
2039,3,Reggae
2068,3,Electronic
2070,3,International
2090,3,Reggae
2155,3,Reggae
2206,3,Reggae
2233,3,Reggae
2279,3,Reggae
2281,3,Reggae
2286,3,Reggae
2398,3,Reggae
2437,3,Reggae
2514,3,Reggae
2557,3,Latin
2623,3,Reggae
2638,3,Pop/Rock
2750,3,Reggae
2794,3,Reggae
2859,3,Reggae
2861,3,Pop/Rock
2870,3,Vocal
2874,3,Reggae
2880,3,International
2893,3,Pop/Rock
2894,3,Reggae
2908,3,Pop/Rock
2913,3,Vocal
2914,3,Pop/Rock
2944,3,Reggae
2959,3,Reggae
2997,3,Reggae
3025,3,Reggae
3056,3,Pop/Rock
3145,3,Reggae
3208,3,Pop/Rock
3239,3,R&B;
3250,3,Reggae
3265,3,Reggae
3268,3,Reggae
3305,3,Pop/Rock
3342,3,Reggae
3357,3,Reggae
3390,3,Reggae
3397,3,Reggae
3548,3,Reggae
3570,3,Reggae
3571,3,Reggae
3638,3,Reggae
3684,3,Pop/Rock
3693,3,Electronic
3751,3,Reggae
3756,3,Reggae
3760,3,Reggae
3792,3,Reggae
3798,3,Reggae
3866,3,Reggae
3925,3,Reggae
3952,3,Reggae
4003,3,Reggae
4009,3,Pop/Rock
4011,3,Reggae
4035,3,Reggae
4152,3,Reggae
4232,3,Reggae
4256,3,Reggae
4311,3,R&B;
4328,3,Reggae
4345,3,Reggae
4481,3,Jazz
4494,3,Reggae
4515,3,Reggae
4535,3,Reggae
4544,3,Reggae
4545,3,International
4546,3,International
4582,3,Reggae
4583,3,Reggae
4606,3,Pop/Rock
4693,3,Reggae
4733,3,Reggae
4775,3,Pop/Rock
4811,3,Reggae
4833,3,Reggae
4838,3,Reggae
4,2,Latin
6,2,Pop/Rock
7,2,Jazz
9,2,International
12,2,Classical
14,2,Stage & Screen
15,2,Pop/Rock
17,2,Easy Listening
26,2,R&B;
33,2,New Age
34,2,R&B;
35,2,Latin
38,2,Latin
44,2,Jazz
45,2,Electronic
49,2,Jazz
51,2,International
52,2,Latin
53,2,Latin
56,2,Pop/Rock
68,2,Pop/Rock
74,2,Jazz
87,2,Pop/Rock
89,2,Pop/Rock
91,2,Jazz
92,2,Electronic
93,2,R&B;
99,2,Jazz
104,2,Jazz
114,2,Pop/Rock
116,2,Jazz
125,2,R&B;
127,2,Pop/Rock
137,2,International
139,2,Jazz
141,2,Jazz
144,2,Electronic
151,2,Jazz
152,2,R&B;
164,2,Jazz
169,2,R&B;
181,2,Jazz
191,2,Jazz
192,2,Jazz
197,2,Easy Listening
202,2,Jazz
204,2,Jazz
212,2,Electronic
220,2,R&B;
221,2,Electronic
222,2,Electronic
223,2,Jazz
236,2,Latin
240,2,Jazz
245,2,Jazz
254,2,Jazz
261,2,Classical
263,2,Jazz
265,2,R&B;
268,2,Stage & Screen
274,2,Pop/Rock
