id,length,name,genre
5492,2653,Fifth Harmony,Pop/Rock
5329,2604,Ariana Grande,Pop/Rock
5161,2600,Demi Lovato,Pop/Rock
4036,2579,The Cheetah Girls,Pop/Rock
5123,2571,Vanessa Hudgens,Pop/Rock
5417,2570,One Direction,Pop/Rock
2652,2566,Aly & AJ,Pop/Rock
3171,2562,Jonas Brothers,Pop/Rock
3528,2556,Jordan Pruitt,Pop/Rock
5098,2555,Hilary Duff,Pop/Rock
2846,2549,Ashley Tisdale,Pop/Rock
5160,2541,Selena Gomez,Pop/Rock
3176,2539,Miley Cyrus,Pop/Rock
5428,2534,Meghan Trainor,Pop/Rock
3809,2529,Paris Hilton,Pop/Rock
3124,2527,Girls Aloud,Pop/Rock
5503,2508,5 Seconds of Summer,Pop/Rock
5258,2501,Ellie Goulding,Pop/Rock
3450,2489,Ashlee Simpson,Pop/Rock
2026,2486,JoJo,Pop/Rock
5369,2477,Christina Perri,Pop/Rock
5391,2473,Jessie J,Pop/Rock
2589,2471,Sara Bareilles,Pop/Rock
5203,2469,Kristinia DeBarge,R&B;
5483,2466,Kat Dahlia,Pop/Rock
5435,2465,Little Mix,Pop/Rock
5411,2463,Zendaya,Pop/Rock
5517,2451,Tinashe,R&B;
5032,2448,Leona Lewis,Pop/Rock
5265,2448,Kat Graham,Pop/Rock
5469,2447,A*M*E,Pop/Rock
2576,2446,Rihanna,Pop/Rock
4565,2443,Lindsay Lohan,Pop/Rock
2573,2436,Paramore,Pop/Rock
3142,2432,Busted,Pop/Rock
3705,2431,Mandy Moore,Pop/Rock
5284,2431,The Cab,Pop/Rock
4648,2422,Jesse McCartney,Pop/Rock
4918,2399,Thousand Foot Krutch,Pop/Rock
4039,2395,Avril Lavigne,Pop/Rock
4721,2388,KT Tunstall,Pop/Rock
4739,2387,Augustana,Pop/Rock
3614,2386,OneRepublic,Pop/Rock
2176,2383,Maroon 5,Pop/Rock
5420,2380,Lana Del Rey,Pop/Rock
2927,2379,Ingrid Michaelson,Pop/Rock
5368,2376,The Wanted,Pop/Rock
3723,2366,Yael NaÃ¯m,Pop/Rock
1755,2364,Jamie Cullum,Pop/Rock
728,2359,Kelly Clarkson,Pop/Rock
4773,2359,ReneÃ© Olstead,Vocal
4770,2356,Norah Jones,Pop/Rock
5384,2352,Jonathan McReynolds,Religious
5442,2351,The Lumineers,Pop/Rock
5478,2349,Lorde,Pop/Rock
5199,2347,Ida Maria,Pop/Rock
5382,2341,Canaan Smith,Country
1160,2334,BarlowGirl,Pop/Rock
5125,2333,The Veronicas,Pop/Rock
4731,2330,McFly,Pop/Rock
5523,2326,Troye Sivan,Electronic
5389,2322,Frank Ocean,R&B;
4299,2318,Fantasia,R&B;
1643,2315,Gretchen Wilson,Country
5242,2315,Santigold,Pop/Rock
5396,2315,Ed Sheeran,Pop/Rock
638,2308,Cowboy Troy,Country
4038,2306,Big & Rich,Country
3665,2305,The Maine,Pop/Rock
5279,2304,P!nk,Pop/Rock
5193,2303,Cash Cash,Electronic
4791,2302,Michelle Branch,Pop/Rock
3810,2297,Boys Like Girls,Pop/Rock
4462,2289,John Legend,R&B;
2796,2286,Matt Costa,Pop/Rock
5359,2285,James Blake,Electronic
5465,2285,Baauer,Electronic
5275,2283,Andy Grammer,Pop/Rock
4252,2280,Shakira,Latin
457,2279,Charlotte Church,Classical
5373,2278,Olly Murs,Pop/Rock
1268,2276,Anna Nalick,Pop/Rock
4610,2269,Vanessa Carlton,Pop/Rock
5178,2269,Passion Pit,Pop/Rock
